date,landing_view,input_start,free_result_view,unlock_choice_modal_open,unlock_choice_share_select,unlock_choice_pay_select,any_select,unlock_granted,speed_dohwa_decode_payment_start,speed_dohwa_decode_purchase_success,deep_opening_upsell_view,deep_opening_payment_start,deep_opening_purchase_success
2026-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-02,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-06-03,0,0,0,0,0,0,0,0,0,2,0,0,0
2026-06-04,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-06-05,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-06-06,0,0,0,0,0,0,0,0,0,11,0,0,0
2026-06-07,0,0,0,0,0,0,0,0,0,31,0,0,2
2026-06-08,0,0,0,0,0,0,0,0,0,8,0,0,0
2026-06-09,0,0,0,0,0,0,0,0,0,4,0,0,2
2026-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-12,0,0,0,0,0,0,0,0,0,2,0,0,2
2026-06-13,0,0,0,0,0,0,0,0,0,40,0,0,0
2026-06-14,0,0,0,0,0,0,0,0,0,15,0,0,0
2026-06-15,0,0,0,0,0,0,0,0,0,5,0,0,0
2026-06-16,0,0,0,0,0,0,0,0,0,17,0,0,1
2026-06-17,0,0,0,0,0,0,0,0,0,14,0,0,4
2026-06-18,0,0,0,0,0,0,0,0,0,1,0,0,0
2026-06-19,0,0,0,0,0,0,0,0,0,7,0,0,2
2026-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-21,8,0,23,9,6,1,7,6,8,17,2,0,1
2026-06-22,62,0,131,51,20,11,31,25,26,15,16,0,2
2026-06-23,2,0,5,4,3,0,3,1,0,0,0,0,0
2026-06-24,1,0,2,1,1,0,1,1,1,0,0,0,0
2026-06-25,22,0,41,47,13,3,16,12,7,2,2,0,0
2026-06-26,43,0,97,84,26,7,33,29,22,12,12,0,0
2026-06-27,23,0,48,42,15,3,18,12,12,4,5,0,0
2026-06-28,40,0,94,87,21,2,23,19,16,8,7,0,0
