date,gross_revenue_krw,speed_purchases,speed_revenue_krw,deep_purchases,deep_revenue_krw,visits,free_results
2026-06-01,0,0,0,0,0,0,0
2026-06-02,990,1,990,0,0,7,0
2026-06-03,1980,2,1980,0,0,25,0
2026-06-04,990,1,990,0,0,12,0
2026-06-05,990,1,990,0,0,16,0
2026-06-06,10890,11,10890,0,0,325,0
2026-06-07,58290,31,30690,2,27600,684,0
2026-06-08,7920,8,7920,0,0,219,0
2026-06-09,31560,4,3960,2,27600,34,0
2026-06-10,0,0,0,0,0,9,0
2026-06-11,0,0,0,0,0,7,0
2026-06-12,29580,2,1980,2,27600,41,0
2026-06-13,39600,40,39600,0,0,1020,0
2026-06-14,14850,15,14850,0,0,461,0
2026-06-15,4950,5,4950,0,0,163,0
2026-06-16,30630,17,16830,1,13800,271,0
2026-06-17,69060,14,13860,4,55200,218,0
2026-06-18,990,1,990,0,0,55,0
2026-06-19,34530,7,6930,2,27600,21,0
2026-06-20,0,0,0,0,0,8,0
2026-06-21,30630,17,16830,1,13800,330,23
2026-06-22,42450,15,14850,2,27600,208,131
2026-06-23,0,0,0,0,0,11,5
2026-06-24,0,0,0,0,0,8,2
2026-06-25,1980,2,1980,0,0,88,41
2026-06-26,11880,12,11880,0,0,156,97
2026-06-27,3960,4,3960,0,0,79,48
2026-06-28,7920,8,7920,0,0,134,94
