date,key,spend,impressions,reach,clicks,link_clicks,landing_page_views,view_content,initiate_checkout,purchase,purchase_value,first_spend_date,last_spend_date,ctr,cpc,cpm,frequency,cost_per_lpv
2026-06-13,2026-06-13,149294,10453,8368,860,848,1054,646,66,41,40590,2026-06-13,2026-06-13,8.227,173.6,14282.41,1.249,141.65
2026-06-07,2026-06-07,115196,6635,5692,548,541,603,402,47,31,30690,2026-06-07,2026-06-07,8.259,210.21,17361.87,1.166,191.04
2026-06-14,2026-06-14,67313,4771,4310,346,334,350,295,21,13,12870,2026-06-14,2026-06-14,7.252,194.55,14108.78,1.107,192.32
2026-06-21,2026-06-21,60681,2828,2574,217,222,239,0,0,0,0,2026-06-21,2026-06-21,7.673,279.64,21457.21,1.099,253.9
2026-06-22,2026-06-22,48591,1831,1631,165,165,200,0,0,0,0,2026-06-22,2026-06-22,9.011,294.49,26537.96,1.123,242.96
2026-06-16,2026-06-16,48305,2265,1914,225,225,273,171,25,17,29640,2026-06-16,2026-06-16,9.934,214.69,21326.71,1.183,176.94
2026-06-17,2026-06-17,40206,2256,1979,169,168,224,45,7,4,16770,2026-06-17,2026-06-17,7.491,237.91,17821.81,1.14,179.49
2026-06-06,2026-06-06,35943,1465,1305,154,152,145,118,17,12,11880,2026-06-06,2026-06-06,10.512,233.4,24534.47,1.123,247.88
2026-06-26,2026-06-26,28238,1375,1196,113,111,139,1,0,0,0,2026-06-26,2026-06-26,8.218,249.89,20536.73,1.15,203.15
2026-06-25,2026-06-25,27897,1034,925,64,59,57,0,0,0,0,2026-06-25,2026-06-25,6.19,435.89,26979.69,1.118,489.42
2026-06-15,2026-06-15,27843,2052,1818,120,121,111,81,7,5,4950,2026-06-15,2026-06-15,5.848,232.03,13568.71,1.129,250.84
2026-06-27,2026-06-27,25047,1149,1046,64,65,97,45,8,5,4950,2026-06-27,2026-06-27,5.57,391.36,21798.96,1.098,258.22
2026-06-28,2026-06-28,22144,1117,1014,110,110,103,87,8,9,8910,2026-06-28,2026-06-28,9.848,201.31,19824.53,1.102,214.99
2026-06-08,2026-06-08,20450,1421,1287,147,147,142,125,14,7,6930,2026-06-08,2026-06-08,10.345,139.12,14391.27,1.104,144.01
2026-06-18,2026-06-18,9627,576,540,44,44,73,0,0,0,0,2026-06-18,2026-06-18,7.639,218.8,16713.54,1.067,131.88
2026-06-09,2026-06-09,0,0,0,0,0,0,2,0,0,0,,,0,0,0,0,0
2026-06-10,2026-06-10,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0
2026-06-11,2026-06-11,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0
